id;temp;active;reoccup;exito;prod;brood;dist.PPA;area.ppa.voronoi;area.voronoi.miles;area.ppa.circulo;area.circulo.miles;nndist;elevacion;slope;aspect
Pau 32;2016;;;;;;;;;4063.927633;4.063927633;;70.53846154;21.79268356;177.4
Pau 32;2017;1;;1;3;3;0;3031.21645;3.03121645;4063.927633;4.063927633;118;70.53846154;21.79268356;177.4
Pau 32;2018;1;1;1;2;2;0;3358.118314;3.358118314;4063.927633;4.063927633;118;70.53846154;21.79268356;177.4
Pau 32;2019;1;1;;;;0;3358.118314;3.358118314;4063.927633;4.063927633;;70.53846154;21.79268356;177.4
Pau 33;2014;;;;;;;;;1;0.001;;67.94117647;4.233997622;231.57
Pau 33;2015;;;;;;;;;1;0.001;;67.94117647;4.233997622;231.57
Pau 33;2016;;;;;;;;;1;0.001;;67.94117647;4.233997622;231.57
Pau 33;2017;1;;1;1;1;364;78.73523969;0.07873524;1;0.001;558;67.94117647;4.233997622;231.57
Pau 33;2018;0;0;;;;364;;;1;0.001;558;67.94117647;4.233997622;231.57
Pau 33;2019;;;;;;;;;1;0.001;;67.94117647;4.233997622;231.57
Pau 34;2014;;;;;;;;;2052.179213;2.052179213;;60.78846154;22.74799101;259.08
Pau 34;2015;;;;;;;;;2052.179213;2.052179213;;60.78846154;22.74799101;259.08
Pau 34;2016;;;;;;;;;2052.179213;2.052179213;;60.78846154;22.74799101;259.08
Pau 34;2017;1;;1;2;2;17;3409.196152;3.409196152;2052.179213;2.052179213;333;60.78846154;22.74799101;259.08
Pau 34;2018;0;0;;;;17;;;2052.179213;2.052179213;255;60.78846154;22.74799101;259.08
Pau 34;2019;0;0;;;;17;;;2052.179213;2.052179213;;60.78846154;22.74799101;259.08
Pau 35;2014;;;;;;;;;6411.334399;6.411334399;;211.7307692;28.01287739;292.47
Pau 35;2015;;;;;;;;;6411.334399;6.411334399;;211.7307692;28.01287739;292.47
Pau 35;2016;;;;;;;;;6411.334399;6.411334399;;211.7307692;28.01287739;292.47
Pau 35;2017;1;;1;2;2;9;18511.92816;18.51192816;6411.334399;6.411334399;558;211.7307692;28.01287739;292.47
Pau 35;2018;1;1;1;2;2;9;13694.65063;13.69465063;6411.334399;6.411334399;524;211.7307692;28.01287739;292.47
Pau 35;2019;1;1;;;;;13694.65067;13.69465067;6411.334399;6.411334399;;211.7307692;28.01287739;292.47
Pau 37;2014;;;;;;;;;3281.561068;3.281561068;;56.95918367;24.54181091;244.3314
Pau 37;2015;;;;;;;;;3281.561068;3.281561068;;56.95918367;24.54181091;244.3314
Pau 37;2016;;;;;;;;;3281.561068;3.281561068;;56.95918367;24.54181091;244.3314
Pau 37;2017;;;;;;;;;3281.561068;3.281561068;;56.95918367;24.54181091;244.3314
Pau 37;2018;;;;;;;;;3281.561068;3.281561068;;56.95918367;24.54181091;244.3314
Pau 37;2019;1;;0;0;;0;1613.747264;1.613747264;3281.561068;3.281561068;205;56.95918367;24.54181091;244.3314
